PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,TOUCHES,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,AVG_SPEED,DIST_MILES,AVG_SPEED_OFF,AVG_SPEED_DEF,STL,BLK,DRIVE_PTS,CATCH_SHOOT_PTS,PULL_UP_PTS,PAINT_TOUCH_PTS,SEASON_LABEL
201609,Goran Dragic,PHX,76,2668.0,5.29,5.3,5945,100,25,124,4.38,194.5,4.83,3.94,104,22,482,209,401,60,2013-14
202330,Gordon Hayward,UTA,77,2800.0,3.23,2.55,5481,145,84,127,4.3,200.7,4.68,3.89,110,40,257,314,289,74,2013-14
203476,Gorgui Dieng,MIN,60,818.0,1.68,0.37,1123,171,67,278,4.1,55.5,4.2,3.99,30,50,8,34,15,198,2013-14
202328,Greg Monroe,DET,82,2690.0,2.08,0.59,4225,446,638,591,3.98,178.2,4.1,3.85,91,47,226,86,18,481,2013-14
201141,Greg Oden,MIA,23,212.0,1.36,0.31,208,7,16,64,4.11,14.5,4.14,4.09,7,13,0,0,0,53,2013-14
202962,Greg Smith,HOU,11,100.0,1.28,0.26,114,9,8,27,4.13,6.9,4.45,3.83,1,2,0,0,0,30,2013-14
201880,Greg Stiemsma,NOP,55,1007.0,1.56,0.26,1558,155,17,169,4.22,70.7,4.56,3.86,35,57,3,14,2,112,2013-14
202349,Greivis Vasquez,TOR,78,1765.0,5.35,4.88,4415,48,15,28,4.27,124.8,4.6,3.93,30,5,209,270,177,21,2013-14
202970,Gustavo Ayon,ATL,25,421.0,1.37,0.32,832,68,17,122,4.29,30.1,4.74,3.88,25,10,10,8,0,60,2013-14
202380,Hamady Ndiaye,SAC,14,74.0,1.41,0.25,71,5,3,14,4.46,5.5,4.89,4.19,0,4,0,0,0,7,2013-14
203084,Harrison Barnes,GSW,77,2165.0,2.85,1.85,2407,61,177,98,4.43,159.2,4.83,4.04,62,20,169,223,99,72,2013-14
201934,Hasheem Thabeet,OKC,23,192.0,1.71,0.34,155,9,7,22,4.01,12.8,4.07,3.9,4,9,0,8,0,13,2013-14
