PLAYER_ID,PLAYER_NAME,SEASON_LABEL,OFF_SPEED,DEF_SPEED,TIME_PER_TOUCH,DRIBBLES_PER_TOUCH,PTS_PER_TOUCH,DRIVE_PCT,CATCH_SHOOT_PCT,PULL_UP_PCT,PAINT_TOUCH_PCT,ARCHETYPE_ID,ARCHETYPE_CONFIDENCE
202350,Daniel Orton,2013-14,4.53,3.79,1.59,0.4,0.1091811414392059,0.0,0.2727272727272727,0.0454545454545454,0.6818181818181818,4,0.9964434208127415
101122,Danny Granger,2013-14,4.28,3.92,2.24,1.09,0.2475067996373526,0.1355311355311355,0.5787545787545788,0.1062271062271062,0.1794871794871795,5,0.7897647644729642
201980,Danny Green,2013-14,5.03,4.25,1.99,1.02,0.2157170923379175,0.0928961748633879,0.5974499089253188,0.2185792349726776,0.0910746812386156,0,0.8657694794599408
201967,Dante Cunningham,2013-14,4.69,4.18,1.5,0.28,0.1617336152219873,0.0522875816993464,0.5969498910675382,0.008714596949891,0.3420479302832244,3,0.9527540843979445
203121,Darius Miller,2013-14,4.23,3.81,2.44,1.23,0.2482662968099861,0.1843575418994413,0.5698324022346368,0.217877094972067,0.0279329608938547,0,0.806684043741445
202721,Darius Morris,2013-14,4.78,4.52,4.69,4.47,0.1229629629629629,0.3012048192771084,0.3373493975903614,0.2650602409638554,0.0963855421686747,9,0.6477202976230543
201589,Darrell Arthur,2013-14,4.47,3.81,1.32,0.28,0.2105889351576442,0.03954802259887,0.7005649717514124,0.0734463276836158,0.1864406779661017,5,0.7338670331693743
201954,Darren Collison,2013-14,4.61,4.16,4.36,4.06,0.1571557971014492,0.3170028818443804,0.2968299711815562,0.3472622478386167,0.0389048991354466,9,0.858279788171967
101135,David Lee,2013-14,4.43,3.88,1.85,0.8,0.1896884477529639,0.1933139534883721,0.1191860465116279,0.0406976744186046,0.6468023255813954,4,0.9251277977391237
2561,David West,2013-14,3.89,3.53,1.75,0.53,0.1717011128775834,0.1423611111111111,0.3888888888888889,0.1342592592592592,0.3344907407407407,5,0.7520877271431287
201599,DeAndre Jordan,2013-14,4.15,3.71,1.17,0.19,0.1803116497650259,0.0027434842249657,0.0,0.0027434842249657,0.9945130315500684,2,0.9984275527199608
