PLAYER_ID,PLAYER_NAME,SEASON_LABEL,GP,MIN,PTS,REB,AST,STL,BLK,TOV,PF,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,FG_PCT,FG3_PCT,FT_PCT,3P_RATE,FT_RATE,TS_PCT,AST_TOV
1628386,Jarrett Allen,2022-23,68,32.76470588235294,14.25,9.794117647058824,1.661764705882353,0.7941176470588235,1.2352941176470589,1.3676470588235294,2.25,403,626,1,10,162,221,221,445,0.6437699680511182,0.1,0.7330316742081447,0.01597444089456869,0.35303514376996803,0.009851501576240252,1.2150537634408602
1628386,Jarrett Allen,2023-24,77,31.7012987012987,16.506493506493506,10.532467532467532,2.727272727272727,0.6883116883116883,1.051948051948052,1.5714285714285714,1.9090909090909092,519,819,0,6,233,314,243,568,0.6336996336996337,0.0,0.7420382165605095,0.007326007326007326,0.3833943833943834,0.008622640679976966,1.7355371900826446
1628386,Jarrett Allen,2024-25,82,27.98780487804878,13.451219512195122,9.731707317073171,1.9268292682926829,0.9390243902439024,0.8902439024390244,1.1829268292682926,1.548780487804878,452,640,0,5,199,277,216,582,0.70625,0.0,0.7184115523465704,0.0078125,0.4328125,0.008827649703493413,1.6288659793814433
1628387,Ike Anigbogu,2017-18,11,2.727272727272727,1.1818181818181819,0.8181818181818182,0.0,0.09090909090909091,0.2727272727272727,0.18181818181818182,0.09090909090909091,4,9,0,0,5,6,5,4,0.4444444444444444,0.0,0.8333333333333334,0.0,0.6666666666666666,0.050765385816932206,0.0
1628388,T.J. Leaf,2017-18,53,8.641509433962264,2.943396226415094,1.5471698113207548,0.16981132075471697,0.09433962264150944,0.07547169811320754,0.18867924528301888,0.8490566037735849,64,136,18,42,10,16,29,53,0.47058823529411764,0.42857142857142855,0.625,0.3088235294117647,0.11764705882352941,0.010288717234392807,0.8999999999999999
1628388,T.J. Leaf,2018-19,58,9.0,3.8793103448275863,2.1551724137931036,0.41379310344827586,0.15517241379310345,0.3275862068965517,0.20689655172413793,0.603448275862069,99,183,8,31,19,31,43,82,0.5409836065573771,0.25806451612903225,0.6129032258064516,0.16939890710382513,0.16939890710382513,0.009863990909345978,2.0
1628388,T.J. Leaf,2019-20,28,7.892857142857143,3.0,2.5357142857142856,0.32142857142857145,0.35714285714285715,0.14285714285714285,0.2857142857142857,0.7857142857142857,36,86,5,18,7,16,23,48,0.4186046511627907,0.2777777777777778,0.4375,0.20930232558139536,0.18604651162790697,0.016122098022355976,1.1250000000000002
1628389,Bam Adebayo,2017-18,69,19.840579710144926,6.913043478260869,5.521739130434782,1.463768115942029,0.463768115942029,0.5942028985507246,0.9565217391304348,2.0,174,340,0,7,129,179,118,263,0.5117647058823529,0.0,0.7206703910614525,0.020588235294117647,0.5264705882352941,0.008254183157728615,1.5303030303030303
1628389,Bam Adebayo,2018-19,82,23.26829268292683,8.890243902439025,7.280487804878049,2.2439024390243905,0.8658536585365854,0.7926829268292683,1.475609756097561,2.475609756097561,280,486,3,15,166,226,165,432,0.5761316872427984,0.2,0.7345132743362832,0.030864197530864196,0.46502057613168724,0.0075927882468220685,1.5206611570247937
1628389,Bam Adebayo,2019-20,72,33.541666666666664,15.916666666666666,10.208333333333334,5.111111111111111,1.1388888888888888,1.2916666666666667,2.8333333333333335,2.5277777777777777,440,790,2,14,264,382,176,559,0.5569620253164557,0.14285714285714285,0.6910994764397905,0.017721518987341773,0.4835443037974684,0.008306543642841238,1.8039215686274508
1628389,Bam Adebayo,2020-21,64,33.453125,18.703125,8.953125,5.40625,1.171875,1.03125,2.640625,2.265625,456,800,2,8,283,354,142,431,0.57,0.25,0.7994350282485876,0.01,0.4425,0.00978442548338495,2.0473372781065087
1628389,Bam Adebayo,2021-22,56,32.607142857142854,19.071428571428573,10.071428571428571,3.392857142857143,1.4285714285714286,0.7857142857142857,2.642857142857143,3.0535714285714284,406,729,0,6,256,340,137,427,0.5569272976680384,0.0,0.7529411764705882,0.00823045267489712,0.4663923182441701,0.01085330558355826,1.2837837837837838
1628389,Bam Adebayo,2022-23,75,34.64,20.386666666666667,9.173333333333334,3.2,1.1733333333333333,0.8133333333333334,2.493333333333333,2.7733333333333334,602,1114,1,12,324,402,184,504,0.5403949730700179,0.08333333333333333,0.8059701492537313,0.010771992818671455,0.3608617594254937,0.007896422078995206,1.2834224598930484
1628389,Bam Adebayo,2023-24,71,34.014084507042256,19.253521126760564,10.380281690140846,3.915492957746479,1.1408450704225352,0.9295774647887324,2.2816901408450705,2.23943661971831,530,1017,15,42,292,387,159,578,0.5211406096361848,0.35714285714285715,0.7545219638242894,0.04129793510324484,0.3805309734513274,0.008108247897193823,1.7160493827160495
1628389,Bam Adebayo,2024-25,78,34.34615384615385,18.076923076923077,9.602564102564102,4.32051282051282,1.2564102564102564,0.6794871794871795,2.0641025641025643,2.076923076923077,540,1113,79,221,251,328,185,564,0.48517520215633425,0.3574660633484163,0.7652439024390244,0.1985624438454627,0.29469901168014373,0.007188672365397463,2.093167701863354
